"host_id","host_url","host_name","num_of_perfect_reviews"
12111837,"https://www.airbnb.com/users/show/12111837","Emirhan",53
2911496,"https://www.airbnb.com/users/show/2911496","Nadira",53
75440567,"https://www.airbnb.com/users/show/75440567","Furkan",53
7164203,"https://www.airbnb.com/users/show/7164203","Eren",53
21533965,"https://www.airbnb.com/users/show/21533965","Oval",52
29568076,"https://www.airbnb.com/users/show/29568076","Antonio",52
9514105,"https://www.airbnb.com/users/show/9514105","Volkan",51
22976736,"https://www.airbnb.com/users/show/22976736","Mahmud",51
158800482,"https://www.airbnb.com/users/show/158800482","Cüneyt",51
65782724,"https://www.airbnb.com/users/show/65782724","Handan",51
1351134,"https://www.airbnb.com/users/show/1351134","Basma",51
181064753,"https://www.airbnb.com/users/show/181064753","Ferhat",50
1938185,"https://www.airbnb.com/users/show/1938185","Gurhan",50
4164658,"https://www.airbnb.com/users/show/4164658","Garen",50
373108905,"https://www.airbnb.com/users/show/373108905","Origine Rentals",50
10790256,"https://www.airbnb.com/users/show/10790256","Farouq",50
8519024,"https://www.airbnb.com/users/show/8519024","Mert",50
170585773,"https://www.airbnb.com/users/show/170585773","Tuğba & Aytaç",49
3257050,"https://www.airbnb.com/users/show/3257050","Tolga",49
60271729,"https://www.airbnb.com/users/show/60271729","Sara",49
923172,"https://www.airbnb.com/users/show/923172","Tansel",48
182942394,"https://www.airbnb.com/users/show/182942394","Rose&Mustafa",47
32180071,"https://www.airbnb.com/users/show/32180071","Erhan",47
15038360,"https://www.airbnb.com/users/show/15038360","Erdem",47
226487677,"https://www.airbnb.com/users/show/226487677","Engin",46
44656879,"https://www.airbnb.com/users/show/44656879","Çınar",46
6555247,"https://www.airbnb.com/users/show/6555247","Raven Suite Taksim (Mr.Tamer)",46
196309011,"https://www.airbnb.com/users/show/196309011","Seda",45
5127970,"https://www.airbnb.com/users/show/5127970","Pinar",44
216066129,"https://www.airbnb.com/users/show/216066129","Ahmet",44
237616777,"https://www.airbnb.com/users/show/237616777","Umut Özgün",44
