"host_id","host_url","host_name","num_of_dirty_reviews"
2361238,"https://www.airbnb.com/users/show/2361238","Carolina",4
43249265,"https://www.airbnb.com/users/show/43249265","Seçkin",4
238451516,"https://www.airbnb.com/users/show/238451516","Melike",4
31135209,"https://www.airbnb.com/users/show/31135209","Cagri",4
771119,"https://www.airbnb.com/users/show/771119","Ram",4
14146652,"https://www.airbnb.com/users/show/14146652","Elvin",4
424447493,"https://www.airbnb.com/users/show/424447493","Ismail Cem",4
23037431,"https://www.airbnb.com/users/show/23037431","Yasin",3
309693640,"https://www.airbnb.com/users/show/309693640","Ismail",3
131287088,"https://www.airbnb.com/users/show/131287088","Gizem",3
318798055,"https://www.airbnb.com/users/show/318798055","Rıza",3
322207129,"https://www.airbnb.com/users/show/322207129","Beyazıt",3
2099221,"https://www.airbnb.com/users/show/2099221","Nahide",3
34330068,"https://www.airbnb.com/users/show/34330068","Sertaç",3
14468412,"https://www.airbnb.com/users/show/14468412","Umut",3
335550478,"https://www.airbnb.com/users/show/335550478","Sayeban",3
1351134,"https://www.airbnb.com/users/show/1351134","Basma",3
344331070,"https://www.airbnb.com/users/show/344331070","Fatima",3
157790972,"https://www.airbnb.com/users/show/157790972","Ece",3
352640720,"https://www.airbnb.com/users/show/352640720","Ufuk",3
361873700,"https://www.airbnb.com/users/show/361873700","Tugba",3
166810169,"https://www.airbnb.com/users/show/166810169","Canberk",3
365900986,"https://www.airbnb.com/users/show/365900986","Newinn",3
168950128,"https://www.airbnb.com/users/show/168950128","Karakoy",3
171287824,"https://www.airbnb.com/users/show/171287824","Maha & Chiko",3
1366111,"https://www.airbnb.com/users/show/1366111","Julia And Tarkan",3
373108905,"https://www.airbnb.com/users/show/373108905","Origine Rentals",3
374208780,"https://www.airbnb.com/users/show/374208780","Celal",3
17285567,"https://www.airbnb.com/users/show/17285567","Deniz And Marco",3
184564671,"https://www.airbnb.com/users/show/184564671","Tevfik",3
17709337,"https://www.airbnb.com/users/show/17709337","Ali",3
387500387,"https://www.airbnb.com/users/show/387500387","Cüneyt",3
202255063,"https://www.airbnb.com/users/show/202255063","Burak",3
18936021,"https://www.airbnb.com/users/show/18936021","Ergül",3
490877,"https://www.airbnb.com/users/show/490877","Hazar Vurgun",3
19394886,"https://www.airbnb.com/users/show/19394886","Ozan",3
217807800,"https://www.airbnb.com/users/show/217807800","Furkan Tunç",3
223450420,"https://www.airbnb.com/users/show/223450420","Mehmet",3
51888008,"https://www.airbnb.com/users/show/51888008","Zeynel",3
228223282,"https://www.airbnb.com/users/show/228223282","Richy",3
8389533,"https://www.airbnb.com/users/show/8389533","Dilara",3
420971728,"https://www.airbnb.com/users/show/420971728","Johanna Carolina",3
61682169,"https://www.airbnb.com/users/show/61682169","Bariş",3
434616682,"https://www.airbnb.com/users/show/434616682","Zafer",3
4604908,"https://www.airbnb.com/users/show/4604908","Savas",3
21882835,"https://www.airbnb.com/users/show/21882835","Muge",3
442251868,"https://www.airbnb.com/users/show/442251868","Pera",3
10341153,"https://www.airbnb.com/users/show/10341153","Ekim",3
258347666,"https://www.airbnb.com/users/show/258347666","Sema",3
10749485,"https://www.airbnb.com/users/show/10749485","Aylin",3
454998598,"https://www.airbnb.com/users/show/454998598","Nejla",3
265348694,"https://www.airbnb.com/users/show/265348694","Nael",3
24695528,"https://www.airbnb.com/users/show/24695528","Mesut",3
272396293,"https://www.airbnb.com/users/show/272396293","Oval",3
6047256,"https://www.airbnb.com/users/show/6047256","Flats Company",3
25399144,"https://www.airbnb.com/users/show/25399144","Engin",3
96752845,"https://www.airbnb.com/users/show/96752845","Özgür",3
27203459,"https://www.airbnb.com/users/show/27203459","Yavuz",3
289949651,"https://www.airbnb.com/users/show/289949651","Cesur",3
2057739,"https://www.airbnb.com/users/show/2057739","Mehmet",3
301256767,"https://www.airbnb.com/users/show/301256767","Neci̇p Atalay",3
110013636,"https://www.airbnb.com/users/show/110013636","Deniz",3
304153488,"https://www.airbnb.com/users/show/304153488","Farzin",3
306962724,"https://www.airbnb.com/users/show/306962724","Bahar",3
116103978,"https://www.airbnb.com/users/show/116103978","Ilir",3
